Pergunta,Intenção,Resposta_Pré-definida,Classificação,Tokens,Etiqueta,Sentimento,Classificacao
preciso ajuda solicitar,emergência,encontrar informação emergência site,Informações,preciso ajudar solicitar,b-tempo b-doc,urgente,informação
preciso ajuda solicitar,cancelamento,encontrar informação cancelamento site,Encaminhamento,preciso ajudar solicitar,b-doc b-atendimento,frustrar,encaminhamento
preciso ajuda verificar,serviço x,caso emergência dirijar se a o atendimento presencial,Informações,preciso ajudar verificar,b-doc b-doc,neutro,informação
encontrar informação verificar,emergência,precisar ajuda atendente a o disposição,Encaminhamento,encontrar informação verificar,b-atendimento b-serviço b-doc,frustrar,encaminhamento
documento necessário obter informação,contato,contato disponível em o unidade,Contato,documento necessário obter informação,b-doc b-tempo b-atendimento b-atendimento,frustrar,contato
obter informação solicitar,contato,encontrar informação contato site,Encaminhamento,obter informação solicitar,b-tempo b-serviço,neutro,encaminhamento
obter informação cadastrar,serviço x,serviço x levar documento b.,Emergência,obter informação cadastrar,b-serviço b-serviço,neutro,emergência
documento necessário cadastrar,cancelamento,precisar ajuda atendente a o disposição,Contato,documento necessário cadastrar,b-atendimento b-doc b-serviço,frustrar,contato
encontrar informação consultar,serviço y,horário serviço y 8h a o 18h,Encaminhamento,encontrar informação consultar,b-doc b-tempo b-atendimento,neutro,encaminhamento
haver solicitar presencial,contato,horário contato 8h a o 18h,Informações,haver solicitar presencial,b-tempo,frustrar,informação
obter informação solicitar,serviço y,serviço y acer portal serviço,Documentação,obter informação solicitar,b-atendimento b-serviço,neutro,documentação
horário obter informação,serviço x,encontrar informação serviço x site,Informações,horário obter informação,b-tempo b-atendimento b-doc,frustrar,informação
haver obter informação presencial,emergência,horário emergência 8h a o 18h,Contato,haver obter informação presencial,b-serviço b-atendimento,neutro,contato
horário obter informação,emergência,atendimento presencial,Contato,horário obter informação,b-doc b-doc b-atendimento,urgente,contato
haver solicitar presencial,cancelamento,cancelar contato por o portal,Documentação,haver solicitar presencial,b-tempo,frustrar,documentação
encontrar informação obter informação,contato,precisar ajuda atendente a o disposição,Cancelamento,encontrar informação obter informação,b-tempo b-doc b-atendimento b-doc,urgente,cancelamento
documento necessário agendar,emergência,encontrar informação emergência site,Informações,documento necessário agendar,b-serviço b-serviço b-tempo,frustrar,informação
documento necessário cadastrar,cancelamento,caso emergência dirijar se a o atendimento presencial,Cancelamento,documento necessário cadastrar,b-doc b-tempo b-tempo,neutro,cancelamento
verificar atendimento,encaminhamento,encaminhamento disponível em o unidade,Contato,verificar atendimento,b-serviço b-serviço b-doc,urgente,contato
telefone solicitar,informação,informação levar documento b.,Emergência,telefone solicitar,b-serviço b-serviço,neutro,emergência
preciso ajuda agendar,encaminhamento,encaminhamento levar documento b.,Informações,preciso ajudar agendar,b-doc b-serviço,neutro,informação
horário verificar,agendamento,precisar ajuda atendente a o disposição,Informações,horário verificar,b-atendimento b-tempo,neutro,informação
obter informação agendar,agendamento,atendimento presencial,Encaminhamento,obter informação agendar,b-tempo b-tempo,neutro,encaminhamento
horário agendar,informação,cancelar contato por o portal,Emergência,horário agendar,b-doc b-tempo,neutro,emergência
haver agendar presencial,serviço x,horário serviço x 8h a o 18h,Encaminhamento,haver agendar presencial,b-serviço,neutro,encaminhamento
obter informação consultar,informação,informação disponível em o unidade,Emergência,obter informação consultar,b-serviço b-serviço,urgente,emergência
documento necessário consultar,serviço y,horário serviço y 8h a o 18h,Emergência,documento necessário consultar,b-atendimento b-tempo b-serviço,urgente,emergência
haver solicitar presencial,serviço x,serviço x levar documento b.,Emergência,haver solicitar presencial,b-tempo,frustrar,emergência
obter informação solicitar,informação,informação acer portal serviço,Emergência,obter informação solicitar,b-serviço b-doc,neutro,emergência
horário consultar,encaminhamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,horário consultar,b-serviço b-doc,confuso,encaminhamento
telefone verificar,emergência,precisar ajuda atendente a o disposição,Informações,telefone verificar,b-serviço b-doc,neutro,informação
preciso ajuda cadastrar,agendamento,cancelar contato por o portal,Emergência,preciso ajudar cadastrar,b-atendimento b-atendimento,neutro,emergência
cancelar atendimento,cancelamento,caso emergência dirijar se a o atendimento presencial,Encaminhamento,cancelar atendimento,b-atendimento b-doc,urgente,encaminhamento
encontrar informação agendar,cancelamento,precisar ajuda atendente a o disposição,Emergência,encontrar informação agendar,b-doc b-serviço b-serviço,frustrar,emergência
cancelar atendimento,informação,informação disponível em o unidade,Informações,cancelar atendimento,b-serviço b-tempo,confuso,informação
cancelar atendimento,emergência,emergência disponível em o unidade,Cancelamento,cancelar atendimento,b-tempo b-atendimento,neutro,cancelamento
preciso ajuda cadastrar,serviço x,horário serviço x 8h a o 18h,Documentação,preciso ajudar cadastrar,b-tempo b-serviço,urgente,documentação
obter informação obter informação,contato,contato disponível em o unidade,Documentação,obter informação obter informação,b-tempo b-doc b-atendimento,urgente,documentação
preciso ajuda solicitar,serviço x,serviço x disponível em o unidade,Documentação,preciso ajudar solicitar,b-atendimento b-serviço,confuso,documentação
preciso ajuda cadastrar,cancelamento,encontrar informação cancelamento site,Emergência,preciso ajudar cadastrar,b-serviço b-atendimento,neutro,emergência
encontrar informação cadastrar,emergência,encontrar informação emergência site,Encaminhamento,encontrar informação cadastrar,b-doc b-doc b-atendimento,neutro,encaminhamento
preciso ajuda cadastrar,agendamento,agendamento levar documento b.,Documentação,preciso ajudar cadastrar,b-serviço b-tempo,confuso,documentação
documento necessário consultar,agendamento,atendimento presencial,Emergência,documento necessário consultar,b-tempo b-serviço b-doc,urgente,emergência
obter informação verificar,informação,informação acer portal serviço,Emergência,obter informação verificar,b-serviço b-atendimento,frustrar,emergência
caso emergência,informação,informação disponível em o unidade,Contato,caso emergência,b-atendimento b-doc b-serviço,neutro,contato
horário verificar,serviço y,serviço y levar documento b.,Informações,horário verificar,b-serviço b-doc,frustrar,informação
cancelar atendimento,contato,contato disponível em o unidade,Informações,cancelar atendimento,b-atendimento b-doc,neutro,informação
verificar atendimento,cancelamento,cancelamento acer portal serviço,Informações,verificar atendimento,b-doc b-tempo b-tempo,frustrar,informação
cancelar atendimento,serviço x,serviço x acer portal serviço,Encaminhamento,cancelar atendimento,b-serviço b-atendimento,frustrar,encaminhamento
documento necessário agendar,agendamento,agendamento levar documento b.,Emergência,documento necessário agendar,b-serviço b-doc b-doc,confuso,emergência
caso emergência,contato,encontrar informação contato site,Documentação,caso emergência,b-tempo b-atendimento b-doc,urgente,documentação
preciso ajuda consultar,serviço y,serviço y levar documento b.,Emergência,preciso ajudar consultar,b-doc b-doc,urgente,emergência
caso emergência,serviço y,precisar ajuda atendente a o disposição,Informações,caso emergência,b-tempo b-doc b-atendimento,frustrar,informação
haver obter informação presencial,cancelamento,cancelamento disponível em o unidade,Cancelamento,haver obter informação presencial,b-serviço b-atendimento,confuso,cancelamento
consultar atendimento,contato,contato acer portal serviço,Emergência,consultar atendimento,b-serviço b-serviço b-atendimento,confuso,emergência
preciso ajuda verificar,encaminhamento,encontrar informação encaminhamento site,Encaminhamento,preciso ajudar verificar,b-doc b-serviço,neutro,encaminhamento
cancelar atendimento,emergência,emergência acer portal serviço,Cancelamento,cancelar atendimento,b-atendimento b-tempo,urgente,cancelamento
consultar atendimento,agendamento,agendamento levar documento b.,Cancelamento,consultar atendimento,b-tempo b-serviço b-atendimento,neutro,cancelamento
horário agendar,emergência,contato por o xx xxxx-xxxx,Encaminhamento,horário agendar,b-atendimento b-serviço,confuso,encaminhamento
horário cadastrar,contato,caso emergência dirijar se a o atendimento presencial,Contato,horário cadastrar,b-doc b-doc,frustrar,contato
telefone agendar,agendamento,agendamento disponível em o unidade,Emergência,telefone agendar,b-atendimento b-serviço,urgente,emergência
telefone consultar,contato,contato levar documento b.,Encaminhamento,telefone consultar,b-serviço b-doc,frustrar,encaminhamento
horário solicitar,serviço x,serviço x acer portal serviço,Emergência,horário solicitar,b-doc b-serviço,neutro,emergência
documento necessário agendar,informação,informação acer portal serviço,Informações,documento necessário agendar,b-tempo b-tempo b-tempo,neutro,informação
documento necessário cadastrar,contato,contato disponível em o unidade,Informações,documento necessário cadastrar,b-tempo b-atendimento b-tempo,frustrar,informação
horário verificar,emergência,atendimento presencial,Documentação,horário verificar,b-atendimento b-serviço,frustrar,documentação
haver obter informação presencial,cancelamento,cancelar contato por o portal,Cancelamento,haver obter informação presencial,b-tempo b-serviço,confuso,cancelamento
encontrar informação cadastrar,contato,contato levar documento b.,Informações,encontrar informação cadastrar,b-doc b-serviço b-doc,confuso,informação
haver obter informação presencial,serviço x,serviço x acer portal serviço,Informações,haver obter informação presencial,b-atendimento b-serviço,neutro,informação
horário verificar,emergência,horário emergência 8h a o 18h,Cancelamento,horário verificar,b-tempo b-serviço,urgente,cancelamento
encontrar informação verificar,contato,contato levar documento b.,Cancelamento,encontrar informação verificar,b-doc b-atendimento b-doc,neutro,cancelamento
